epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,136.683,1.75783,2.4093,1.07146,0.08333,0.87719,0.18336,0.09302,1.39497,2.77822,1.0109,0.000239444,0.000239444,0.000239444
33,140.629,1.60084,2.1559,1.17288,0.08333,0.87719,0.17711,0.09661,1.35908,2.69561,1.00467,0.000234496,0.000234496,0.000234496
34,144.811,1.57824,2.21814,1.10722,0.08333,0.87719,0.17711,0.09661,1.35908,2.69561,1.00467,0.000228756,0.000228756,0.000228756
35,149.057,1.65708,2.241,1.19676,0.085,0.89474,0.18011,0.10598,1.29948,2.62711,0.99808,0.000222224,0.000222224,0.000222224
36,153.255,1.56039,2.36511,1.05462,0.085,0.89474,0.18011,0.10598,1.29948,2.62711,0.99808,0.0002149,0.0002149,0.0002149
37,157.606,1.57978,2.20369,1.06104,0.085,0.89474,0.17008,0.11182,1.28828,2.59327,1.01183,0.000206784,0.000206784,0.000206784
38,162.09,1.43395,2.12798,1.06505,0.085,0.89474,0.17008,0.11182,1.28828,2.59327,1.01183,0.000197876,0.000197876,0.000197876
39,166.247,1.49309,2.00939,1.08407,0.085,0.89474,0.18479,0.12644,1.28124,2.54154,1.00966,0.000188176,0.000188176,0.000188176
40,170.549,1.45999,2.15221,1.02779,0.085,0.89474,0.18479,0.12644,1.28124,2.54154,1.00966,0.000177684,0.000177684,0.000177684
41,174.504,1.48214,2.06025,1.06352,0.085,0.89474,0.18026,0.12467,1.27163,2.51649,1.01054,0.0001664,0.0001664,0.0001664
42,178.427,1.57915,2.01819,1.17376,0.085,0.89474,0.18026,0.12467,1.27163,2.51649,1.01054,0.000154324,0.000154324,0.000154324
43,182.446,1.37154,2.00287,1.0957,0.085,0.89474,0.18283,0.12601,1.27345,2.47725,1.00292,0.000141456,0.000141456,0.000141456
44,186.309,1.48953,1.98407,1.16446,0.085,0.89474,0.18283,0.12601,1.27345,2.47725,1.00292,0.000127796,0.000127796,0.000127796
45,190.222,1.86224,2.3545,1.13636,0.085,0.89474,0.18305,0.12646,1.28363,2.45393,1.00553,0.000113344,0.000113344,0.000113344
46,194.215,1.44462,2.03717,1.08055,0.085,0.89474,0.18305,0.12646,1.28363,2.45393,1.00553,9.81e-05,9.81e-05,9.81e-05
47,198.339,1.54887,1.999,1.0173,0.085,0.89474,0.18852,0.12908,1.29751,2.41163,0.99489,8.2064e-05,8.2064e-05,8.2064e-05
48,202.2,1.44587,1.96508,1.0797,0.085,0.89474,0.18852,0.12908,1.29751,2.41163,0.99489,6.5236e-05,6.5236e-05,6.5236e-05
49,206.336,1.52379,2.02385,0.98136,0.08333,0.87719,0.1908,0.13119,1.29679,2.3858,0.99139,4.7616e-05,4.7616e-05,4.7616e-05
50,210.249,1.45663,1.99057,1.09459,0.08333,0.87719,0.1908,0.13119,1.29679,2.3858,0.99139,2.9204e-05,2.9204e-05,2.9204e-05
