epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25585,4.08457,3.72354,2.33612,0,0,0,0,4.01184,3.70227,2.25548,0,0,0
2,10.1759,4.01866,3.74913,2.60905,0,0,0,0,4.00407,3.69202,2.23984,1.9604e-05,1.9604e-05,1.9604e-05
3,14.2111,4.00335,3.70529,2.37843,0,0,0,0,3.9109,3.68192,2.18889,3.8416e-05,3.8416e-05,3.8416e-05
4,18.2101,4.2534,3.68402,2.17536,0,0,0,0,3.78277,3.66801,2.12125,5.6436e-05,5.6436e-05,5.6436e-05
5,22.0191,3.61264,3.68148,2.45171,0,0,0,0,3.64127,3.64512,2.04567,7.3664e-05,7.3664e-05,7.3664e-05
6,26.0093,3.61245,3.6374,2.15875,0.005,0.05263,0.00268,0.00044,3.48544,3.63302,1.94796,9.01e-05,9.01e-05,9.01e-05
7,30.2073,3.48004,3.61981,1.82095,0.015,0.15789,0.00916,0.00232,3.26876,3.57983,1.79952,0.000105744,0.000105744,0.000105744
8,34.1634,3.19907,3.56287,1.96259,0.01667,0.17544,0.01003,0.00164,3.12346,3.5532,1.6887,0.000120596,0.000120596,0.000120596
9,38.2198,3.00193,3.51786,1.71815,0.03,0.31579,0.01991,0.00593,2.86011,3.47988,1.54454,0.000134656,0.000134656,0.000134656
10,42.3608,2.70382,3.44774,1.60587,0.04167,0.4386,0.03257,0.00929,2.59313,3.42206,1.4005,0.000147924,0.000147924,0.000147924
11,46.6639,2.47438,3.38713,1.5614,0.055,0.57895,0.04811,0.01402,2.35169,3.38521,1.2945,0.0001604,0.0001604,0.0001604
12,50.772,2.32689,3.30543,1.39888,0.05167,0.54386,0.04228,0.01426,2.06625,3.38982,1.22193,0.000172084,0.000172084,0.000172084
13,54.8557,2.24976,3.20248,1.32256,0.05667,0.59649,0.04586,0.01665,1.777,3.42145,1.16882,0.000182976,0.000182976,0.000182976
14,58.7957,1.86125,3.18333,1.39227,0.055,0.57895,0.04538,0.01847,1.4935,3.4028,1.09125,0.000193076,0.000193076,0.000193076
15,63.0092,1.93915,3.11852,1.31742,0.05667,0.59649,0.04694,0.02062,1.29326,3.38397,1.03028,0.000202384,0.000202384,0.000202384
16,67.1476,1.70578,2.9665,1.23125,0.06,0.63158,0.05009,0.02322,1.18794,3.3587,0.99564,0.0002109,0.0002109,0.0002109
17,72.6101,1.74586,3.01486,1.43323,0.05833,0.61404,0.04881,0.02663,1.15915,3.29423,0.97502,0.000218624,0.000218624,0.000218624
18,77.0459,1.87298,3.03661,1.52469,0.05833,0.61404,0.04881,0.02663,1.15915,3.29423,0.97502,0.000225556,0.000225556,0.000225556
19,81.4608,2.0674,2.78732,1.23387,0.07333,0.77193,0.06693,0.03779,1.1733,3.21813,0.96643,0.000231696,0.000231696,0.000231696
20,85.6619,1.98947,2.76536,1.22618,0.07333,0.77193,0.06693,0.03779,1.1733,3.21813,0.96643,0.000237044,0.000237044,0.000237044
21,90.0303,1.94512,2.62994,1.20923,0.07833,0.82456,0.07861,0.04386,1.24668,3.13494,0.97309,0.0002416,0.0002416,0.0002416
22,94.2814,1.84978,2.63786,1.23817,0.07833,0.82456,0.07861,0.04386,1.24668,3.13494,0.97309,0.000245364,0.000245364,0.000245364
23,98.3165,1.49588,2.61595,1.18987,0.08333,0.87719,0.08664,0.04933,1.26921,3.07432,0.98177,0.000248336,0.000248336,0.000248336
24,102.493,1.5486,2.42275,1.15367,0.08333,0.87719,0.08664,0.04933,1.26921,3.07432,0.98177,0.000250516,0.000250516,0.000250516
25,107.247,1.65934,2.57472,1.20064,0.08333,0.87719,0.09297,0.05147,1.277,3.01473,0.98814,0.000251904,0.000251904,0.000251904
26,111.829,1.9509,2.5241,1.13703,0.08333,0.87719,0.09297,0.05147,1.277,3.01473,0.98814,0.0002525,0.0002525,0.0002525
27,116.02,1.58901,2.36496,1.25555,0.08333,0.87719,0.14132,0.0712,1.29589,2.95663,0.9971,0.000252304,0.000252304,0.000252304
28,120.103,1.48866,2.22866,1.13013,0.08333,0.87719,0.14132,0.0712,1.29589,2.95663,0.9971,0.000251316,0.000251316,0.000251316
29,124.357,1.54452,2.35622,1.06841,0.08333,0.87719,0.16631,0.08309,1.36316,2.87123,1.00658,0.000249536,0.000249536,0.000249536
30,128.449,1.51875,2.30867,1.08324,0.08333,0.87719,0.16631,0.08309,1.36316,2.87123,1.00658,0.000246964,0.000246964,0.000246964
31,132.523,1.69564,2.30589,1.16575,0.08333,0.87719,0.18336,0.09302,1.39497,2.77822,1.0109,0.0002436,0.0002436,0.0002436
